id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,zipcode,lat,long,sqft_living15,sqft_lot15,bed_bth_ratio,zip code region,factor levels,blocks
7229300521,2014-10-13T00:00:00Z,12.351470848219531,2,1,7.07326971745971,5650,1,0,0,3,7,1180,0,1955,98178,47.5112,-122.257,7.200424892944957,5650,0.5,Region 2,factor 3,Block 1
6414100192,2014-12-09T00:00:00Z,13.195613839143922,3,2.25,7.851661177889265,7242,2,0,0,3,7,2170,400,1951,98125,47.721,-122.319,7.432483807917119,7639,0.75,Region 2,factor 3,Block 4
5631500400,2015-02-25T00:00:00Z,12.100712129872347,2,1,6.646390514847729,10000,1,0,0,3,6,770,0,1933,98028,47.7379,-122.233,7.908387159290043,8062,0.5,Region 1,factor 3,Block 1
2487200875,2014-12-09T00:00:00Z,13.311329476916953,4,3,7.580699752224563,5000,1,0,0,5,7,1050,910,1965,98136,47.5208,-122.393,7.215239978730097,5000,0.75,Region 2,factor 3,Block 3
1954400510,2015-02-18T00:00:00Z,13.142166004700508,3,2,7.426549072397305,8080,1,0,0,3,8,1680,0,1987,98074,47.6168,-122.045,7.495541943884256,7503,0.6666666666666666,Region 1,factor 3,Block 2
7237550310,2014-05-12T00:00:00Z,14.018451401960965,4,4.5,8.597851094433691,101930,1,0,0,3,11,3890,1530,2001,98053,47.6561,-122.005,8.468002947225466,101930,1.125,Region 1,factor 2,Block 4
1321400060,2014-06-27T00:00:00Z,12.458774999085929,3,2.25,7.44716835960004,6819,2,0,0,3,7,1715,0,1995,98003,47.3097,-122.327,7.71333788887187,6819,0.75,Region 1,factor 3,Block 2
2008000270,2015-01-15T00:00:00Z,12.583995250631936,3,1.5,6.966024187106113,9711,1,0,0,3,7,1060,0,1963,98198,47.4095,-122.315,7.408530566894626,9711,0.5,Region 2,factor 3,Block 1
2414600126,2015-04-15T00:00:00Z,12.343658308482738,3,1,7.484368643286131,7470,1,0,0,3,7,1050,730,1960,98146,47.5123,-122.337,7.484368643286131,8113,0.3333333333333333,Region 2,factor 3,Block 2
3793500160,2015-03-12T00:00:00Z,12.685407602204794,3,2.5,7.5443321080536885,6560,2,0,0,3,7,1890,0,2003,98038,47.3684,-122.031,7.779048644925556,7570,0.8333333333333334,Region 1,factor 3,Block 2
1736800520,2015-04-03T00:00:00Z,13.403775836842515,3,2.5,8.177515823846075,9796,1,0,0,3,8,1860,1700,1965,98007,47.6007,-122.145,7.700747794511798,8925,0.8333333333333334,Region 1,factor 3,Block 4
9212900260,2014-05-27T00:00:00Z,13.056223574899784,2,1,7.05617528410041,6000,1,0,0,4,7,860,300,1942,98115,47.69,-122.292,7.1929342212158,6000,0.5,Region 2,factor 3,Block 1
0114101516,2014-05-28T00:00:00Z,12.644327576461329,3,1,7.265429723253953,19901,1.5,0,0,4,7,1430,0,1927,98028,47.7558,-122.229,7.484368643286131,12697,0.3333333333333333,Region 1,factor 3,Block 2
6054650070,2014-10-07T00:00:00Z,12.89921982609012,3,1.75,7.222566018822171,9680,1,0,0,4,7,1370,0,1977,98074,47.6127,-122.045,7.222566018822171,10208,0.5833333333333334,Region 1,factor 3,Block 1
1175000570,2015-03-12T00:00:00Z,13.180632285528304,5,2,7.501082124259871,4850,1.5,0,0,3,7,1810,0,1900,98107,47.67,-122.394,7.215239978730097,4850,0.4,Region 2,factor 3,Block 2
9297300055,2015-01-24T00:00:00Z,13.38472764187182,4,3,7.989560449333865,5000,2,0,3,3,9,1980,970,1979,98126,47.5714,-122.375,7.668561108015897,4000,0.75,Region 2,factor 3,Block 4
1875500060,2014-07-31T00:00:00Z,12.886641043883259,3,2,7.5443321080536885,14040,2,0,0,3,7,1890,0,1994,98019,47.7277,-121.962,7.5443321080536885,14018,0.6666666666666666,Region 1,factor 3,Block 2
6865200140,2014-05-29T00:00:00Z,13.091904169919621,4,1,7.3777589082278725,4300,1.5,0,0,4,7,1600,0,1916,98103,47.6648,-122.343,7.383989457978509,4300,0.25,Region 2,factor 3,Block 2
0016000397,2014-12-05T00:00:00Z,12.14950229404178,2,1,7.090076835776092,9850,1,0,0,4,7,1200,0,1921,98002,47.3089,-122.21,6.966024187106113,5095,0.5,Region 1,factor 3,Block 1
7983200060,2015-04-24T00:00:00Z,12.345834587905333,3,1,7.1308988302963465,9774,1,0,0,4,7,1250,0,1969,98003,47.3343,-122.306,7.154615356913663,8850,0.3333333333333333,Region 1,factor 3,Block 1
6300500875,2014-05-14T00:00:00Z,12.86099861326992,4,1.75,7.3901814282264295,4980,1,0,0,4,7,860,760,1947,98133,47.7025,-122.341,7.24422751560335,4980,0.4375,Region 2,factor 3,Block 2
2524049179,2014-08-26T00:00:00Z,14.508657738524219,3,2.75,8.022896869601457,44867,1,0,4,3,9,2330,720,1968,98040,47.5316,-122.233,8.32117830749028,20336,0.9166666666666666,Region 1,factor 3,Block 4
7137970340,2014-07-03T00:00:00Z,12.560244459250788,5,2.5,7.727535110475448,6300,2,0,0,3,8,2270,0,1995,98092,47.3266,-122.169,7.7142311448490855,7005,0.5,Region 1,factor 3,Block 3
8091400200,2014-05-16T00:00:00Z,12.439958293376286,2,1.5,6.975413927455952,9643,1,0,0,3,7,1070,0,1985,98030,47.3533,-122.166,7.106606137727303,8386,0.75,Region 1,factor 3,Block 1
3814700200,2014-11-20T00:00:00Z,12.70381302974751,3,2.25,7.803843303538772,6500,2,0,0,4,8,2450,0,1985,98030,47.3739,-122.172,7.696212639346407,6865,0.75,Region 1,factor 3,Block 3
